food,Calorie,Fat,Carbohydrates,Protein,Water
fried rice,228,3.2,43.4,6.5,85.4
pupusas del cerdo,283,12.7,28.1,14,64.8
turkey pot pie,699,34.9,70.3,25.8,260.8
cheese croissant,331,16.7,37.6,7.4,16.8
chimichanga with beef,425,19.7,42.8,19.6,88.2
french toast with butter,178,9.4,18,5.2,34.2
ham egg cheese sandwich,347,16.3,30.9,19.2,73.1
english muffin with butter,189,5.8,30.4,4.9,20.6
savoury noodle one pan dinner tandaco,172,1.2,5.5,0,0
ham cheese sandwich,352,15.5,33.3,20.7,74.2
sweet gefilte fish,35,0.7,3.1,3.8,33.7
poached egg,72,4.7,0.4,6.3,37.9
tostada with beef cheese,315,16.3,22.8,19,101.1
tostada with beans cheese,223,9.9,26.5,9.6,95.4
pork tamale,247,12.8,22.4,10.4,93.8
nachos with cheese,274,17.2,27.9,3.5,29.9
pulled pork in barbecue sauce,418,11,46.7,32.8,151.9
baked potato with cheese sauce,474,28.7,46.5,14.6,194.6
baked beans,310,10.3,43.3,11.1,130.3
arroz con frijoles,220,5.6,35.6,6.8,95.6
taco with beef cheese lettuce,156,8.8,13.7,6.1,39.3
burrito with beans cheese beef,165,6.6,19.8,7.3,65.9
egg mix,30,2.2,0.098,2.4,0.1
falafel,57,3,5.4,2.3,5.9
taco salad with chili con carne,193,8.8,17.7,11.6,133.6
wonton wrappers,93,0.5,18.5,3.1,9.2
hushpuppies,512,20.5,69.9,11.7,44.1
chicken pot pie,598,34.6,57.3,14.6,191.6
general tsos chicken,1578,87.5,128.3,69,241.6
burrito with beans cheese,379,11.2,57.8,13.6,98.4
vegetarian fillets,247,15.3,7.7,19.6,38.3
biscuit with egg sausage,505,33.6,34.1,18,72.1
chicken chow mein,513,16.9,50.1,40.8,489.3
fruit burrito,231,9.5,35,2.5,26.4
arroz con leche,369,9.3,63,8.1,170.5
caramel custard flan,444,12.3,69.7,13.9,208.2
gelatin dessert,167,0,38.3,3.3,227.9
chocolate milk dessert,229,1.4,51.6,5.9,76.7
chocolate mousse,338,24,24.1,6.2,94.4
dulce de leche,60,1.4,10.5,1.3,5.5
apple crisp,454,9.7,87,4.9,177.4
spinach spaghetti cooked,182,0.9,36.6,6.4,95.4
corn pasta cooked,176,1,39.1,3.7,95.6
spaghetti with meat sauce,255,2.9,43.1,14.3,220.2
pasta with meatballs in tomato sauce,273,13,28.3,10.6,199.5
cheese tortellini,332,7.8,50.8,14.6,32.9
pasta with sliced franks in tomato sauce,227,6,32,11,197.1
lasagna,166,6.1,18.9,9,87.2
macaroni cheese,310,9.4,43.7,12.6,120.2
vegetable lasagna,316,13.7,32.2,15.6,161.7
spinach egg noodles cooked,211,2.5,38.8,8.1,109.6
cheese lasagna,316,13,33.6,15.9,176.9
pasta with tomato sauce,176,1.8,35.1,5.6,207
spinach pasta cooked,37,0.3,7.1,1.4,19.4
vegetable chicken soup,166,4.8,21.1,12.3,201
bean ham soup,198,2.5,33.5,10.3,195.8
cream of chicken soup,227,14.5,18,6,208.5
tomato soup canned,139,3.3,22.6,6.3,216.7
egg drop soup,65,1.5,10.3,2.8,223.8
scotch broth,197,6.4,23,12.1,249.7
cream of onion soup,268,12.8,31.7,6.7,247.1
chicken broth dry,10,0.2,1.1,0.7,0.1
vegetable soup with beef broth,162,3.8,26.3,6,204.8
chili with beans canned,287,14.1,30.5,14.6,193.3
beef noodle soup,168,6.2,17.9,9.6,211.1
consomme dry,17,0.2,1.9,2.2,235.9
chicken mushroom soup,126,6.1,15.1,2,101.3
beef vegetable soup,120,2.9,15.4,8,220.6
black bean soup,234,3.4,39.6,12.4,193.6
split pea soup with ham bacon,189,3.1,28.6,11.6,88.3
cream of mushroom soup,199,13.4,17.1,3.4,213.4
green pea soup,320,5.7,51.7,16.7,175.5
chicken broth soup,78,2.6,1.9,11.1,231.7
chicken mushroom chowder soup,431,23.7,38.3,16.2,453.8
chicken dumplings soup,235,13.4,14.7,13.6,249.8
chicken vegetable soup,148,5.6,17,7.1,207
turkey vegetable soup,72,3,8.6,3.1,223.9
wonton soup,71,0.6,11.7,4.6,203.3
beef stock,31,0.2,2.9,4.7,230.1
mushroom barley soup,186,5.5,29.3,4.6,258.9
gazpacho soup,70,0.4,6.6,10.7,346
beef mushroom soup,186,7.3,15.9,14,260.8
chicken rice soup,127,3.2,13,12.3,208.3
pepperpot soup,100,4.5,9.1,6.2,219.8
vegetable soup,149,4,24.6,4.3,214
chili beef soup,308,6.7,49.6,13.4,186.4
chicken soup,174,6.5,16.9,12.4,206.1
bean with frankfurters soup,188,7,22,10,207.6
pea soup,161,2.8,25.6,8.3,219
turkey soup,135,4.4,14.1,10.2,203.8
stockpot soup,201,7.8,23.1,9.8,211.3
hot sour soup,91,2.8,10.1,6,211.2
cheese soup,203,9.7,28,2,202.6
cream of potato soup,186,4.7,32.2,3.8,215.2
bean with bacon soup,106,2.1,16.4,5.5,237.8
fish stock,40,1.9,0,5.3,225.9
split pea soup with ham,381,8.9,56.2,20.7,177.3
beef broth soup,17,0.5,0.01,2.7,234.1
lentil soup with ham,139,2.8,20.2,9.3,212.7
tomato soup,98,0.7,22.5,2.2,119.6
fish broth,39,1.5,1,4.9,234.2
chili without beans canned,283,17,14.6,18.1,186.4
minestrone soup,167,5,22.6,8.6,204.1
clam chowder soup,154,4.4,24.5,4.4,212.4
tomato vegetable soup,54,0.8,9.9,1.9,230.9
cream of rice coup,127,0.2,28.1,2.2,213.5
cream of celery soup,181,11.2,17.7,3.3,214.1
chicken gravy,188,13.6,12.9,4.6,203.1
tomato rice soup,240,5.5,44.1,4.2,199
vegetable beef soup,128,2,9.6,18.1,258.7
tomato beef noodle soup,281,8.6,42.3,8.9,185.9
oyster stew soup,118,7.7,8.2,4.2,221.1
ramen noodle soup dry,371,13.3,53.9,8.9,4.2
chicken noodle soup,145,4.7,18.4,7.2,267.2
chicken bouillon dry,11,0.6,0.7,0.7,0.043
cream of asparagus soup,174,8.2,21.5,4.6,211.8
turkey noodle soup,139,4,17.3,7.8,217.7
cream of shrimp soup,181,10.4,16.5,5.6,213.8
bean with pork soup,335,11.5,44.1,15.3,182.4
chicken broth,12,0.5,1,1,229.8
beef broth powder,8,0.3,0.6,0.6,0.1
split pea soup,180,2.3,29.9,9.7,208.5
escarole soup,61,4,4,3.4,535.8
chicken stock,86,2.9,8.5,6,221.2
